"","x"
"1404","lightgreen"
"1405","turquoise"
"1406","pink"
"1407","blue"
"1408","green"
"1409","skyblue4"
"1410","magenta"
"1411","magenta"
"1412","tan"
"1413","darkturquoise"
"1414","royalblue"
"1415","darkred"
"1416","green"
"1417","ivory"
"1418","red"
"1419","violet"
"1420","darkgrey"
"1421","indianred4"
"1422","antiquewhite4"
"1423","lightcyan"
"1424","saddlebrown"
"1425","navajowhite1"
"1426","thistle1"
"1427","blue2"
"1428","salmon2"
"1429","floralwhite"
"1430","orange"
"1431","skyblue1"
"1432","thistle1"
"1433","purple"
"1434","darkred"
"1435","skyblue"
"1436","honeydew1"
"1437","darkorange2"
"1438","black"
"1439","yellow4"
"1440","sienna3"
"1441","thistle4"
"1442","salmon2"
"1443","salmon"
"1444","thistle2"
"1445","yellow"
"1446","yellow"
"1447","blue2"
"1448","sienna3"
"1449","darkolivegreen"
"1450","mediumpurple1"
"1451","plum3"
"1452","thistle1"
"1453","sienna3"
"1454","white"
"1455","tan"
"1456","darkolivegreen"
"1457","lightpink3"
"1458","floralwhite"
"1459","indianred3"
"1460","darkseagreen4"
"1461","green"
"1462","lightyellow"
"1463","darkturquoise"
"1464","mediumpurple3"
"1465","darkorange2"
"1466","magenta"
"1467","honeydew"
"1468","pink"
"1469","honeydew"
"1470","brown"
"1471","tan"
"1472","yellow"
"1473","midnightblue"
"1474","yellow"
"1475","darkmagenta"
"1476","turquoise"
"1477","brown4"
"1478","purple"
"1479","lightcyan"
"1480","thistle1"
"1481","pink"
"1482","chocolate4"
"1483","salmon2"
"1484","magenta"
"1485","lightcyan"
"1486","magenta"
"1487","ivory"
"1488","sienna3"
"1489","lightyellow"
"1490","coral2"
"1491","turquoise"
"1492","sienna3"
"1493","brown4"
"1494","midnightblue"
"1495","blue"
"1496","skyblue3"
"1497","paleturquoise"
"1498","sienna3"
"1499","coral4"
"1500","turquoise"
"1501","orangered3"
"1502","coral2"
"1503","darkseagreen3"
"1504","firebrick4"
"1505","darkmagenta"
"1506","green4"
"1507","purple"
"1508","deeppink"
"1509","darkseagreen4"
"1510","lightpink3"
"1511","darkred"
"1512","saddlebrown"
"1513","darkslateblue"
"1514","blue4"
"1515","lavenderblush3"
"1516","red"
"1517","lavenderblush1"
"1518","palevioletred1"
